Player,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next_overs,next_runs_given,next_wkts
PJ Cummins,ipl2021_05,0,1,1,0.0,0,0,0,0,100.0,4.0,24,2,6.00,12.0,12.0,0,2,1,50.0,6,2,4.0,34,1
PJ Cummins,ipl2021_10,6,2,1,300.0,0,0,0,1,50.0,4.0,34,1,8.50,34.0,24.0,0,3,0,33.3,66,34,4.0,58,0
PJ Cummins,ipl2021_15,66,34,0,194.1,1,0,4,6,38.2,4.0,58,0,14.50,0,0,0,4,4,33.3,10,6,3.5,36,0
PJ Cummins,ipl2021_18,10,6,1,166.7,0,0,0,1,33.3,3.5,36,0,9.39,0,0,0,3,1,21.7,0,0,3.0,31,2
PJ Cummins,ipl2021_21,0,0,0,0,0,0,0,0,0,3.0,31,2,10.33,15.5,9.0,0,2,3,55.6,11,13,4.0,24,3
PJ Cummins,ipl2021_25,11,13,0,84.6,0,0,1,0,46.2,4.0,24,3,6.00,8.0,8.0,0,3,1,62.5,56,15,4.0,49,2
PJ Cummins,ipl2022_14,56,15,0,373.3,1,0,4,6,13.3,4.0,49,2,12.25,24.5,12.0,0,2,5,41.7,4,3,4.0,51,0
PJ Cummins,ipl2022_19,4,3,1,133.3,0,0,1,0,66.7,4.0,51,0,12.75,0,0,0,4,3,29.2,3,3,3.5,40,1
PJ Cummins,ipl2022_25,3,3,1,100.0,0,0,0,0,33.3,3.5,40,1,10.43,40.0,23.0,0,3,2,43.5,0,1,4.0,50,1
PJ Cummins,ipl2022_30,0,1,1,0.0,0,0,0,0,100.0,4.0,50,1,12.50,50.0,24.0,0,7,1,25.0,0,2,4.0,22,3
PJ Cummins,ipl2022_56,0,2,1,0.0,0,0,0,0,100.0,4.0,22,3,5.50,7.3,8.0,0,2,0,50.0,0,1,4.0,32,1
PJ Cummins,ipl2024_03,0,1,0,0.0,0,0,0,0,100.0,4.0,32,1,8.00,32.0,24.0,0,3,1,33.3,0,0,0,0,0
B Kumar,ipl2017_01,0,0,0,0,0,0,0,0,0,4.0,27,2,6.75,13.5,12.0,0,1,2,54.2,0,0,4.0,21,2
B Kumar,ipl2017_06,0,0,0,0,0,0,0,0,0,4.0,21,2,5.25,10.5,12.0,0,2,0,41.7,4,3,4.0,21,3
B Kumar,ipl2017_10,4,3,0,133.3,0,0,0,0,0.0,4.0,21,3,5.25,7.0,8.0,0,3,0,54.2,0,0,4.0,20,3
B Kumar,ipl2017_14,0,0,0,0,0,0,0,0,0,4.0,20,3,5.00,6.7,8.0,0,0,1,50.0,0,0,4.0,19,5
B Kumar,ipl2017_19,0,0,0,0,0,0,0,0,0,4.0,19,5,4.75,3.8,4.8,1,2,0,62.5,0,0,4.0,29,0
B Kumar,ipl2017_21,0,0,0,0,0,0,0,0,0,4.0,29,0,7.25,0,0,0,4,0,41.7,0,0,4.0,39,1
B Kumar,ipl2017_25,0,0,0,0,0,0,0,0,0,4.0,39,1,9.75,39.0,24.0,0,5,1,41.7,0,0,4.0,27,2
B Kumar,ipl2017_33,0,0,0,0,0,0,0,0,0,4.0,27,2,6.75,13.5,12.0,0,4,0,37.5,0,0,4.0,29,2
B Kumar,ipl2017_37,0,0,0,0,0,0,0,0,0,4.0,29,2,7.25,14.5,12.0,0,3,0,29.2,0,0,4.0,33,1
B Kumar,ipl2017_40,0,0,0,0,0,0,0,0,0,4.0,33,1,8.25,33.0,24.0,0,3,1,37.5,0,1,4.0,39,0
B Kumar,ipl2017_44,0,1,1,0.0,0,0,0,0,100.0,4.0,39,0,9.75,0,0,0,2,2,29.2,0,0,4.0,29,2
B Kumar,ipl2017_48,0,0,0,0,0,0,0,0,0,4.0,29,2,7.25,14.5,12.0,0,1,1,50.0,0,0,3.2,25,2
B Kumar,ipl2017_53,0,0,0,0,0,0,0,0,0,3.2,25,2,7.50,12.5,10.0,0,4,0,50.0,0,0,1.0,11,1
B Kumar,ipl2017_58,0,0,0,0,0,0,0,0,0,1.0,11,1,11.00,11.0,6.0,0,1,1,50.0,0,0,4.0,30,1
B Kumar,ipl2018_04,0,0,0,0,0,0,0,0,0,4.0,30,1,7.50,30.0,24.0,0,4,0,54.2,0,0,4.0,26,3
B Kumar,ipl2018_10,0,0,0,0,0,0,0,0,0,4.0,26,3,6.50,8.7,8.0,0,2,1,58.3,0,0,4.0,25,1
B Kumar,ipl2018_16,0,0,0,0,0,0,0,0,0,4.0,25,1,6.25,25.0,24.0,0,1,1,45.8,0,0,3.0,22,1
B Kumar,ipl2018_20,0,0,0,0,0,0,0,0,0,3.0,22,1,7.33,22.0,18.0,0,1,2,50.0,0,0,4.0,33,0
B Kumar,ipl2018_36,0,0,0,0,0,0,0,0,0,4.0,33,0,8.25,0,0,0,2,1,29.2,1,2,4.0,27,1
B Kumar,ipl2018_39,1,2,0,50.0,0,0,0,0,50.0,4.0,27,1,6.75,27.0,24.0,0,4,0,41.7,0,0,4.0,51,1
B Kumar,ipl2018_42,0,0,0,0,0,0,0,0,0,4.0,51,1,12.75,51.0,24.0,0,5,4,50.0,0,0,4.0,38,0
B Kumar,ipl2018_46,0,0,0,0,0,0,0,0,0,4.0,38,0,9.50,0,0,0,2,3,33.3,0,1,4.0,33,0
B Kumar,ipl2018_54,0,1,1,0.0,0,0,0,0,100.0,4.0,33,0,8.25,0,0,0,3,1,41.7,7,11,3.1,14,1
B Kumar,ipl2018_57,7,11,0,63.6,0,0,0,0,36.4,3.1,14,1,4.42,14.0,19.0,0,0,1,68.4,5,2,4.0,38,0
B Kumar,ipl2018_59,5,2,0,250.0,0,0,1,0,0.0,4.0,38,0,9.50,0,0,0,6,1,37.5,0,0,4.0,17,0
B Kumar,ipl2018_60,0,0,0,0,0,0,0,0,0,4.0,17,0,4.25,0,0,0,0,1,66.7,0,0,4.0,37,0
B Kumar,ipl2019_02,0,0,0,0,0,0,0,0,0,4.0,37,0,9.25,0,0,0,4,2,41.7,0,0,4.0,55,0
B Kumar,ipl2019_08,0,0,0,0,0,0,0,0,0,4.0,55,0,13.75,0,0,0,9,1,37.5,0,0,3.0,25,0
B Kumar,ipl2019_11,0,0,0,0,0,0,0,0,0,3.0,25,0,8.33,0,0,0,3,1,38.9,0,0,4.0,27,2
B Kumar,ipl2019_16,0,0,0,0,0,0,0,0,0,4.0,27,2,6.75,13.5,12.0,0,3,0,50.0,2,6,4.0,34,1
B Kumar,ipl2019_19,2,6,1,33.3,0,0,0,0,66.7,4.0,34,1,8.50,34.0,24.0,0,3,2,58.3,0,0,4.0,25,0
