Player,Match,Team ID,Role,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next SR,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
RK Singh,smat2022_113,KKR,Batsman,79,47,1,168.1,1,0,7,4,29.8,0.0,0,0,0.0,0.0,0,0,0,0,0.0,31,17,182.3529412,0,0,0,24,38,12,21,0,0,0,0,0,0
N Rana,smat2022_131,KKR,Batsman,10,14,1,71.4,0,0,0,0,42.9,3.0,18,0,6.0,0.0,0,0,0,1,27.8,21,15,140.0,0,6,1,16,25,12,18,0,1,5,7,1,1
Shubman Gill,smat2022_134,GT,Batsman,45,32,1,140.6,0,0,7,1,43.8,0.0,0,0,0.0,0.0,0,0,0,0,0.0,30,23,130.4347826,0,0,0,24,35,20,27,0,0,0,0,0,0
B Sai Sudharsan,tnpl2022_32,GT,Batsman,65,42,1,154.8,1,0,8,1,23.8,0.0,0,0,0.0,0.0,0,0,0,0,0.0,33,27,122.2222222,0,0,0,25,41,22,32,0,0,-1,1,1,0
SS Iyer,smat2022_136,KKR,Batsman,34,26,1,130.8,0,0,4,1,38.5,0.0,0,0,0.0,0.0,0,0,0,0,0.0,22,19,115.7894737,0,0,0,18,27,16,22,0,0,0,0,0,0
DA Miller,t20blast2017_131,GT,Batsman,0,2,1,0.0,0,0,0,0,100.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,15,13,115.3846154,0,0,0,12,18,11,14,0,0,0,0,0,0
