Player,Match,Team ID,Role,Credit,Players Link,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next SR,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
R Ashwin,tnpl2022_21,RR,AR,9,https://www.rajasthanroyals.com/static-assets/images/players/4555.png?v=6.01,25,29,1,86.2,0,0,2,1,51.7,4,21,1,5.25,21,24,0,0,1,41.7,7,7,100,1,29,3,4,9,5,9,0,1,27,30,3,4
AK Markram,sat20_2023_33,SRH,Batsman,10,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/287.png,26,19,1,136.8,0,0,2,1,42.1,4,17,1,4.25,17,24,0,1,0,45.8,28,21,133.3333333,0,7,1,23,33,18,25,0,1,4,9,1,1
RA Tripathi,smat2021_2_096,SRH,Batsman,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/188.png,66,45,1,146.7,1,0,5,3,24.4,0,0,0,0,0,0,0,0,0,0,24,16,150,0,0,0,20,29,14,19,0,0,0,0,0,0
MA Agarwal,smat2022_130,SRH,Batsman,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/55.png,8,6,1,133.3,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,22,15,146.6666667,0,0,0,17,27,12,18,0,0,0,0,0,0
TM Head,t20blast2021_108,SRH,Batsman,8,https://www.iplt20.com/assets/images/default-headshot.png,5,8,1,62.5,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,31,20,155,0,3,0,25,37,17,24,0,0,1,6,0,0
H Klaasen,sat20_2023_28,SRH,WK,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/202.png,104,44,0,236.4,0,1,10,6,11.4,0,0,0,0,0,0,0,0,0,0,15,10,150,0,1,0,8,21,6,13,0,0,0,2,0,0
B Kumar,ipl2023_65,SRH,Bowler,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/15.png,0,0,0,0,0,0,0,0,0,4,48,1,12,48,24,0,7,2,45.8,1,1,100,1,27,3,1,2,1,2,1,1,25,28,3,4
Umran Malik,smat2021_2_072,SRH,Bowler,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/637.png,0,0,0,0,0,0,0,0,0,4,44,0,11,0,0,0,6,2,41.7,0,0,0,0,23,2,1,2,1,1,0,1,19,27,2,3
PJ Cummins,ipl2022_56,SRH,Bowler,8,https://www.iplt20.com/assets/images/default-headshot.png,0,2,1,0,0,0,0,0,100,4,22,3,5.5,7.3,8,0,2,0,50,12,7,171.4285714,1,28,3,7,17,4,10,1,1,25,32,3,3
Shahbaz Ahmed,smat2021_2_100,SRH,AR,8,https://www.iplt20.com/assets/images/default-headshot.png,0,1,1,0,0,0,0,0,100,4,36,1,9,36,24,0,4,1,25,2,4,50,0,17,2,1,5,1,6,0,1,13,21,2,2
Washington Sundar,tnpl2017_32,SRH,AR,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/20.png,14,12,1,116.7,0,0,1,1,58.3,4,39,1,9.75,39,24,0,1,3,33.3,12,8,150,2,20,3,7,17,5,11,1,2,18,23,2,3
T Natarajan,tnpl2019_25,SRH,Bowler,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/224.png,0,0,0,0,0,0,0,0,0,4,15,2,3.75,7.5,12,0,2,0,79.2,0,0,0,1,22,3,1,0,1,1,1,1,19,25,3,4
AM Rahane,smat2022_136,CSK,Batsman,8.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/44.png,1,5,1,20,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,25,21,119.047619,0,0,0,20,29,18,24,0,0,0,0,0,0
RD Gaikwad,smat2021_2_090,CSK,Batsman,8.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/102.png,44,34,1,129.4,0,0,6,0,26.5,0,0,0,0,0,0,0,0,0,0,25,18,138.8888889,0,0,0,17,33,14,23,0,0,0,0,0,0
DP Conway,t20blast2021_124,CSK,WK,8.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/601.png,4,6,1,66.7,0,0,1,0,83.3,0,0,0,0,0,0,0,0,0,0,27,28,96.42857143,0,0,0,20,34,23,32,0,0,0,0,0,0
MS Dhoni,ipl2023_61,CSK,WK,9.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/57.png,2,3,0,66.7,0,0,0,0,66.7,0,0,0,0,0,0,0,0,0,0,16,14,114.2857143,0,0,0,12,20,11,16,0,0,0,0,0,0
DL Chahar,smat2021_094,CSK,Bowler,8.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/91.png,2,3,0,66.7,0,0,0,0,33.3,4,36,0,9,0,0,0,4,1,25,4,2,200,1,21,3,3,6,2,3,1,1,19,23,3,4
M Theekshana,sat20_2023_32,CSK,Bowler,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/629.png,0,0,0,0,0,0,0,0,0,4,29,0,7.25,0,0,0,2,1,37.5,0,1,0,1,26,3,0,0,0,1,1,2,24,29,3,4
M Pathirana,ipl2023_61,CSK,Bowler,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1014.png,0,0,0,0,0,0,0,0,0,3,23,0,7.67,0,0,0,1,0,61.1,0,0,0,1,28,3,1,0,1,1,1,2,21,34,2,3
SN Thakur,ipl2023_61,CSK,Bowler,8.5,https://www.iplt20.com/assets/images/default-headshot.png,0,0,0,0,0,0,0,0,0,3,15,1,5,15,18,0,1,0,44.4,2,2,100,1,33,3,1,4,1,3,1,2,30,35,3,3
RA Jadeja,ipl2023_61,CSK,AR,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/46.png,20,24,1,83.3,0,0,0,1,41.7,2,18,0,9,0,0,0,0,2,33.3,7,6,116.6666667,0,24,3,5,10,4,8,0,1,22,26,3,3
S Dube,smat2022_136,CSK,AR,8.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/211.png,7,9,1,77.8,0,0,1,0,55.6,2,16,1,8,16,12,0,2,0,16.7,17,15,113.3333333,1,11,2,13,22,12,18,0,1,8,14,1,2
