Player,Role,Team ID,Players_Link,Credit
YBK Jaiswal,Batsman,RR,https://www.rajasthanroyals.com/static-assets/images/players/69238.png?v=6.01,8.0
R Parag,Batsman,RR,https://www.rajasthanroyals.com/static-assets/images/players/66939.png?v=6.01,8.0
SO Hetmyer,Batsman,RR,https://www.rajasthanroyals.com/static-assets/images/players/64861.png?v=6.01,9.0
R Powell,Batsman,RR,https://www.rajasthanroyals.com/static-assets/images/players/65291.png?v=6.01,8.0
SV Samson,WK,RR,https://www.rajasthanroyals.com/static-assets/images/players/61837.png?v=6.01,9.5
DC Jurel,WK,RR,https://www.rajasthanroyals.com/static-assets/images/players/71370.png?v=6.01,8.0
JC Buttler,WK,RR,https://www.rajasthanroyals.com/static-assets/images/players/9782.png?v=6.01,10.0
YS Chahal,Bowler,RR,https://www.rajasthanroyals.com/static-assets/images/players/9844.png?v=6.01,9.0
M Prasidh Krishna,Bowler,RR,https://www.rajasthanroyals.com/static-assets/images/players/65702.png?v=6.01,8.5
TA Boult,Bowler,RR,https://www.rajasthanroyals.com/static-assets/images/players/4338.png?v=6.01,9.0
R Ashwin,AR,RR,https://www.rajasthanroyals.com/static-assets/images/players/4555.png?v=6.01,9.0
AK Markram,Batsman,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/287.png,10.0
RA Tripathi,Batsman,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/188.png,8.0
MA Agarwal,Batsman,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/55.png,8.0
TM Head,Batsman,SRH,https://www.iplt20.com/assets/images/default-headshot.png,8.0
H Klaasen,WK,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/202.png,8.0
B Kumar,Bowler,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/15.png,8.0
Umran Malik,Bowler,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/637.png,8.0
PJ Cummins,Bowler,SRH,https://www.iplt20.com/assets/images/default-headshot.png,8.0
Shahbaz Ahmed,AR,SRH,https://www.iplt20.com/assets/images/default-headshot.png,8.0
Washington Sundar,AR,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/20.png,8.0
T Natarajan,Bowler,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/224.png,8.0
AM Rahane,Batsman,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/44.png,8.5
RD Gaikwad,Batsman,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/102.png,8.5
DP Conway,WK,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/601.png,8.5
MS Dhoni,WK,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/57.png,9.5
