Player,Match,Team ID,Role,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next SR,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
Rahmanullah Gurbaz,scl2020_19,KKR,WK,4,3,1,133.3,0,0,1,0,66.7,0.0,0,0,0.0,0.0,0,0,0,0,0.0,23,15,153.3333333,0,0,0,18,28,13,18,0,0,0,0,0,0
WP Saha,smat2022_086,GT,WK,1,3,1,33.3,0,0,0,0,66.7,0.0,0,0,0.0,0.0,0,0,0,0,0.0,12,12,100.0,0,0,0,7,18,9,16,0,0,0,0,0,0
